Date,Close,Open,High,Low
09/05/24,322.06,320.01,324.99,317
09/04/24,319.99,317.9,322,317
09/03/24,317,318,318.95,315.1
09/02/24,317,323.1,323.1,315
08/30/24,329,330,337.7,328.5
08/29/24,329,317.25,330.5,317.25
08/28/24,317.15,311.83,318.2,311.83
08/27/24,312.18,321,321,311
08/26/24,318.1,325.99,327.87,317.9
08/23/24,325,329,329.4,324.8
08/22/24,329.2,332,334,327.5
08/21/24,333.45,332.5,334.99,331
08/20/24,333,332.5,333,328.51
08/19/24,332.5,333,334,328.5
08/16/24,332.52,333.1,334,330
08/15/24,332.89,332,337,331
08/13/24,331.85,331,332.96,330
08/12/24,331.1,335.02,338,329.99
08/09/24,336,333.01,338,333.01
08/08/24,333.95,332,335.92,332
08/07/24,335,333.33,338.5,333.33
08/06/24,332.5,330,333.75,327.1
08/05/24,328.92,332,332,328.92
08/02/24,332.01,329.11,333,329.11
08/01/24,331.45,330.02,332.45,329
07/31/24,331,326.99,333.5,326.1
07/30/24,329.76,330,330.95,328.99
07/29/24,328,326.01,332.5,326.01
07/26/24,329.01,330,333,329
07/25/24,330.94,335,337,330
07/24/24,334.5,336,337.25,332.2
07/23/24,331.11,330,336.01,329.5
07/22/24,332.98,335,339.75,328
07/19/24,340.99,348.95,349.4,338.11
07/18/24,347.8,335,350,334.6
07/15/24,333.5,331.33,336,330.15
07/12/24,326.3,325,327,321.9
07/11/24,325,327,327,323.36
07/10/24,325.02,328.99,329.47,325
07/09/24,327,328,329.5,326
07/08/24,327.25,328,329.8,326.26
07/05/24,328,330.31,332.5,325
07/04/24,330.2,331.25,333.45,328.99
07/03/24,330.5,332.9,333.35,330
07/02/24,330,329.16,333.5,329.16
07/01/24,328.5,334,335.5,328.5
06/28/24,332,331.1,334.9,331.1
06/27/24,332.95,338,339.99,331.5
06/26/24,336.9,336.12,341.9,336.07
06/25/24,336.99,331.89,337.99,331.85
06/24/24,330,331.15,335.12,328.51
06/21/24,331.3,339.81,341.5,328.11
06/20/24,338.1,330,341.96,330
06/14/24,335.5,335.88,340.5,330
06/13/24,334,323,334.98,323
06/12/24,323,322,325,317.5
06/11/24,321.9,325.99,325.99,316.01
06/10/24,324,328.5,328.5,321
06/07/24,326.12,327,332,317.2
06/06/24,328,324.52,330.5,324.52
06/05/24,326.9,327.82,330.5,323.33
06/04/24,327.11,332.98,333.99,326.9
06/03/24,332,335.49,337.99,330.9
05/31/24,334,327.75,340,327.66
05/30/24,327.99,333.99,333.99,326.75
05/29/24,331,336.9,338.7,330
05/27/24,337,340.99,340.99,335.8
05/24/24,338.99,339.4,343.9,336.1
05/23/24,336.6,340,340,336
05/22/24,338.01,343.79,345.98,336
05/21/24,342.9,346,347.7,342.1
05/20/24,344.94,352.9,353.9,340.66
05/17/24,351.8,349.98,355,349.5
05/16/24,350,353,353.25,349.2
05/15/24,350.99,355,359.01,349.85
05/14/24,355,352.5,358,348.06
05/13/24,351.5,348.99,355,347.15
05/10/24,346.99,355.31,356.85,332.2
05/09/24,352.8,363.9,364.4,352
05/08/24,362.7,361.7,366,359.81
05/07/24,359.7,365,367,359.5
05/06/24,372.4,366.3,375.9,366.3
05/03/24,364.76,365,366.25,363
05/02/24,362.8,370,371.25,362.8
04/30/24,369.25,370.85,370.85,367.06
04/29/24,370,374.9,377.9,367
04/26/24,368.98,362.72,372.9,361.01
04/25/24,361.6,364.01,369.99,361.01
04/24/24,365,363,368.64,363
04/23/24,363.8,364.01,367.5,361
04/22/24,364.98,363,366.1,363
04/19/24,365,362,366.35,360
04/18/24,364.5,363.7,365.9,354.5
04/17/24,363,364.37,367.99,356
04/16/24,364,366,372,361.96
04/15/24,366.39,371,372,361
04/09/24,370.7,377.5,378.88,369
04/08/24,377.49,376.5,379.75,374.01
04/04/24,375.5,378,387.99,370.1
04/03/24,376.25,358.3,381.1,358.3
04/02/24,358.3,359,360.9,356.01
04/01/24,360,359.25,361.99,354.67
03/29/24,359.25,353.9,361,349.05
03/28/24,356,348.99,362.99,348
03/27/24,347.01,344,348.5,343.01
03/26/24,343.1,339.5,344.39,335.5
03/25/24,340.65,339,344.5,339
03/22/24,341,338.02,342.45,338.02
03/21/24,339,343,343.49,337.5
03/20/24,340.4,338,341,336
03/19/24,337.01,336,337.94,332.02
03/18/24,334.55,335.7,338,332
03/15/24,333.3,335,335,332.5
03/14/24,334.01,335,335.99,332
03/13/24,335,335.98,339,331
03/12/24,335.5,339.51,341.8,333
03/11/24,339.5,343.98,344,338
03/08/24,342,341,352.95,341
03/07/24,342,343.3,346.4,336.01
03/06/24,344,351.22,354,343.5
03/05/24,350,351,358.97,346.1
03/04/24,350.5,350,360.25,348.11
03/01/24,347.74,324,347.74,323.03
02/29/24,323.11,320,327.5,320
02/28/24,319.5,319.2,320.99,318
02/27/24,317.56,318,324.01,315.01
02/26/24,316.5,308.1,320,306
02/23/24,313.1,313.8,316,308
02/22/24,313.5,314.99,314.99,311
02/21/24,312.32,315,315.89,309
02/20/24,310.5,310.62,315.5,310
02/19/24,310.99,307,312.5,300.52
02/16/24,307.4,309,315.5,305
02/15/24,310,317,318.99,307.5
02/14/24,316.01,310.18,317.99,310.18
02/13/24,308.77,309.99,311.89,303.1
02/12/24,310.01,316.2,316.2,308.11
02/09/24,316.5,320,320,307.02
02/07/24,324.95,325.9,326.89,322.01
02/06/24,323,323,325.5,319.01
02/02/24,323.06,319.15,325,319.15
02/01/24,321.95,316.99,322.72,316.05
01/31/24,318,315,318.9,314.99
01/30/24,315.5,322.67,323.5,311
01/29/24,323,327.05,329.7,320.1
01/26/24,328.4,332.03,333.5,328.01
01/25/24,332.35,325,334.4,325
01/24/24,325.9,326.16,328,324.5
01/23/24,326,322.75,327.4,321
01/22/24,322.1,324.01,325,320.35
01/19/24,322,316,328,316
01/18/24,318.49,317,318.8,311
01/17/24,316.5,307.7,317.75,306.01
01/16/24,306,311.73,311.73,305.7
01/15/24,309.5,311.9,313,309
01/12/24,310.98,312,314.88,309.05
01/11/24,309.1,312.99,313.99,309.05
01/10/24,312.89,320.47,321.5,312.05
01/09/24,318.9,316,323.5,316
01/08/24,313.5,299.99,316.45,299.99
01/05/24,296,299.02,299.98,294.93
01/04/24,300.03,299,303.99,298
01/03/24,298,296.9,300.8,294.4
01/02/24,297.49,302,303,295
01/01/24,298.99,295.02,301.9,295.02
12/29/23,293.5,296,298.2,292.57
12/28/23,292.7,291.95,301.9,289.5
12/27/23,290,289.48,290.98,283.76
12/26/23,285.85,292,295,285
12/22/23,293.5,297.88,299.5,292
12/21/23,297.9,302,303,291.76
12/20/23,300,308.89,308.95,293.53
12/19/23,305.52,315.51,316.8,305.01
12/18/23,318.99,322.2,324.99,316.01
12/15/23,323.54,320,324.98,318.05
12/14/23,321.9,319,323.8,314.9
12/13/23,321.3,324.89,327,310
12/12/23,324.01,322.99,329.5,321
12/11/23,321.25,314.9,323.8,309
12/08/23,315.3,312.5,315.75,312
12/07/23,312,313.01,316.85,310.05
12/06/23,311.45,309,313.55,309
12/05/23,309,309.75,313.5,304.5
12/04/23,309.99,305.03,316.89,305.03
12/01/23,304.85,293,305,292.2
11/30/23,292.4,300,302.14,290.1
11/29/23,298.95,297.01,302.88,297
11/28/23,297,296,299.25,295.5
11/27/23,295.5,296,296.9,293.66
11/24/23,294.35,292.67,298,291.6
11/23/23,293.47,291.87,296.75,291.87
11/22/23,293,286.95,294.3,286.95
11/21/23,287.98,287,291.25,286
11/20/23,288.1,290.01,291.9,286.06
11/17/23,291.25,294.5,294.5,290
11/16/23,293.12,294,297.5,292.8
11/15/23,293.5,291.6,294.73,287.5
11/14/23,291.69,292.9,294.75,289
11/13/23,292.69,289,299,289
11/10/23,289.12,283.01,293,283.01
11/08/23,283.5,276.2,285,276.2
11/07/23,277.5,281.99,283.45,276.66
11/06/23,279.45,274.98,279.9,272
11/03/23,273.89,276.55,280,270
11/02/23,276,276.43,283.74,275
11/01/23,277,283,284.9,276.5
10/31/23,280.8,272.7,291,271.1
10/30/23,272.13,271.99,274.9,270.29
10/27/23,270.2,269.11,271.1,269
10/26/23,269.55,269,271.75,269
10/25/23,269,271.11,275,268.15
10/24/23,274.39,272,274.48,270.11
10/23/23,278.5,279.85,285.5,274.5
10/20/23,278.99,277,283.9,276.11
10/19/23,279,265,282.5,265
10/18/23,265.8,265,268,264.32
10/17/23,266.2,268,272.5,266.2
10/16/23,267.1,268.5,269.64,266.5
10/13/23,269.01,266.1,275,264
10/12/23,265,262.2,268.2,260.21
10/11/23,263.1,256,264.19,256
10/10/23,256.3,254.9,256.89,254.2
10/09/23,254.5,253.95,254.75,252
10/06/23,253.74,252.9,254.5,252.4
10/05/23,253.1,251.79,253.6,250.66
10/04/23,250.7,253.01,254.65,250.11
10/03/23,252.61,248,255,248
10/02/23,247.85,243,249.6,243
09/28/23,242,241.7,242,238.05
09/27/23,239.8,242.49,242.49,239.24
09/26/23,241.45,244,244.99,241
09/25/23,242.8,245.02,245.99,242.75
09/22/23,245.5,246.75,246.9,240.5
09/21/23,246.4,247.98,247.98,245.5
09/20/23,245.9,246.49,247.05,245.25
09/19/23,246.89,246.9,247.1,246.01
09/18/23,245.26,247,247.93,244.8
09/15/23,247.5,247.89,249.5,246.31
09/14/23,247,246.71,248.15,246.7
09/13/23,247.1,248.65,248.74,245
09/12/23,248.15,248.05,251,247.8
09/11/23,249.95,253,255,248.8
09/08/23,253.99,255.75,260,253.01
09/07/23,255.1,252.98,256,252.1
09/06/23,253.5,254,254.74,251.75
09/05/23,253,253.95,254.49,251.05
09/04/23,252.99,246.99,254.94,246.99
09/01/23,246.38,247.88,249.89,245.53
08/31/23,246.94,253,255,236.52
08/30/23,253,255,258.4,252.8
08/29/23,255.74,255.8,258,252
08/28/23,258,258,258.11,255.52
08/25/23,257.5,254.75,258.48,253.18
08/24/23,256.25,254,259,254
08/23/23,254,253.97,254,251.46
08/22/23,253,252.99,254.5,252.1
08/21/23,254,256.53,256.9,252.7
08/18/23,256.5,258.95,260,256
08/17/23,259,252.25,266,252.25
08/16/23,269,273.98,273.98,267.01
08/15/23,272.76,272.5,275,271
08/11/23,270.9,267.45,272.4,264.19
08/10/23,265.49,265.01,268.89,264.5
08/09/23,265.74,263.11,267.5,262
08/08/23,262.11,260,266,259.6
08/07/23,259.69,259.9,261.2,256.2
08/04/23,260,263.1,264.5,259.11
08/03/23,263.15,265.9,267.74,262.61
08/02/23,265.5,258,269.85,258
08/01/23,258.05,254.79,261.47,254.25
07/31/23,254.5,254.97,256.95,253.5
07/27/23,254,256.64,257.9,253.95
07/26/23,256.64,259.01,259.01,256.09
07/25/23,257.02,257.5,258.8,256
07/24/23,256.5,257.5,259,256.28
07/21/23,257.99,258.5,260.49,257
07/20/23,258,255.3,261.2,254
07/19/23,253.9,258,258,253.75
07/18/23,256.5,258.01,259.6,255.8
07/17/23,258,261,261.89,257.5
07/14/23,260.8,263.04,265.1,260.55
07/13/23,265.05,268.9,270,264.01
07/12/23,267,269.01,269.45,265.39
07/11/23,268.25,269,270.95,266.5
07/10/23,268.99,271,273.9,268
07/07/23,270.9,274.49,275.88,270.55
07/06/23,273.2,265.8,275,264.99
07/05/23,264.94,269.99,270.5,264
07/04/23,268.37,275.99,275.99,267
07/03/23,275.48,279.38,279.38,269
06/27/23,259.95,264.98,264.98,259
06/26/23,264.88,256,268,256
06/23/23,255,255.7,258.1,254.4
06/22/23,256,259.99,259.99,255.05
06/21/23,258.84,263,263,258
06/20/23,261.06,260.1,262.68,260
06/19/23,261,268.89,268.99,260
06/16/23,266.97,270.6,270.6,266
06/15/23,269.95,270.5,271,267.7
06/14/23,270.9,267,271.2,267
06/13/23,268.89,273.25,273.5,268
06/12/23,272.9,272.1,275,271.1
06/09/23,272.2,274.7,275.87,271.01
06/08/23,273,275.55,278.88,272.5
06/07/23,275.3,276.55,278.9,275.2
06/06/23,277.99,272.8,279.9,272.1
06/05/23,273.6,272.52,275,271.25
06/02/23,274.01,283.25,283.25,274.01
06/01/23,281.9,283.98,283.98,281
05/31/23,283.25,282,284.5,281.5
05/30/23,280.5,280.01,283.65,280.01
05/29/23,280.27,279,286,277.42
05/26/23,278.4,273.13,280.08,273.13
05/25/23,273.88,273,274,271.25
05/24/23,272.2,274,274.1,272
05/23/23,273,271.79,276,270.6
05/22/23,272,270.89,273,270
05/19/23,270.4,269.9,270.89,268
05/18/23,268.5,275.6,275.6,268
05/17/23,273.69,273.7,278.42,273.5
05/16/23,272.5,271.5,275.5,271
05/15/23,270,265.86,271.5,263.01
05/12/23,264.89,264.98,268,264
05/11/23,264.98,262.99,264.99,261.54
05/10/23,261.5,261.52,264.74,261
05/09/23,262.76,267.5,267.5,262
05/08/23,267.03,270.9,270.9,266.7
05/05/23,270.08,267.25,271,265.06
05/04/23,267.49,272,273.75,266.99
05/03/23,272.85,273,273,270
05/02/23,272.2,271.5,277,267.33
04/28/23,307.33,307,310.49,305.11
04/27/23,307.01,306,308.5,303.52
04/26/23,305,314.9,315.8,304.51
04/20/23,309.99,300,314.6,298.1
04/19/23,293.06,287,293.89,285.49
04/18/23,286.5,278.15,287.5,273.02
04/17/23,276.06,273,279,270.9
04/13/23,270.9,273,274.01,270.6
04/12/23,272,275.75,275.75,271.5
04/11/23,273.4,275,276,272
04/10/23,273.8,276,276,273.25
04/07/23,273.11,279,279.2,273
04/06/23,278.44,273.2,279,271.5
04/05/23,271.45,273,273.1,270.13
04/04/23,272,277.99,278,270
04/03/23,274,280,280,271.05
03/31/23,275.5,281.99,281.99,275.5
03/30/23,279.99,280.02,282.49,279.03
03/29/23,280,282,283.79,279.17
03/28/23,282.2,282.99,284,281.35
03/27/23,282,284.25,284.95,281
03/24/23,284.25,283.98,284.32,279
